688,468
0,180
2315,558
1971,302
89,126
2659,126
1121,446
1627,446
251,414
1121,414
1538,486
522,86
850,486
1985,248
763,180
953,180
674,180
1214,36
2222,36
846,324
1017,266
2393,306
98,194
98,378
15,230
359,230
15,374
2423,198
153,374
1907,374
2045,50
2595,194
1219,194
2217,378
1138,284
1569,540
538,252
834,252
369,518
742,108
2006,108
630,396
2114,518
2458,230
1941,32
2183,540
1163,464
897,108
1507,396
1850,266
554,122
124,234
468,234
344,199
2404,199
1720,199
2150,553
1806,553
2494,451
860,481
1888,481
338,73
2327,175
249,181
2499,391
954,103
2505,31
2509,91
147,283
2601,283
1225,283
2039,127
2601,559
1867,127
1057,127
26,211
1346,211
1402,211
2006,139
974,145
2694,67
1318,67
286,217
2462,217
914,415
1834,415
739,433
51,145
2697,145
1321,145
1427,145
739,427
2096,103
651,319
721,319
1065,325
377,103
995,103
1754,1
1926,427
1940,463
306,535
1584,211
896,211
2101,307
2445,307
984,211
1329,433
1763,553
297,265
430,84
2318,84
1806,84
770,552
1978,552
1634,308
602,452
2146,408
1204,236
2237,416
2145,300
769,300
1801,300
1381,282
1794,66
1794,506
94,210
782,210
1966,362
2330,30
266,174
587,344
2161,344
157,20
2333,264
1791,308
441,120
2681,570
755,2
1993,2
841,336
2217,192
1523,102
835,344
1225,236
491,380
1089,156
1777,156
801,38
1920,552
2634,48
203,182
1236,120
824,452
1924,452
548,164
307,560
651,416
721,416
2442,138
564,138
1840,434
2713,344
982,426
1852,66
896,506
1928,218
725,570
1936,138
1415,156
2576,255
1,111
679,57
1040,533
1708,533
1020,39
1728,39
2075,255
1791,111
2509,353
2601,165
835,407
1867,165
229,335
455,191
312,299
2526,191
2526,381
1838,381
119,3
205,83
2543,83
564,489
1239,183
1509,389
1412,263
36,309
992,263
2368,309
2359,83
812,497
1334,21
2022,551
2618,165
168,346
2580,346
1544,346
2232,370
2666,202
1290,202
1458,202
946,202
1292,40
1456,40
2488,184
776,40
435,496
1298,292
2244,244
1880,244
848,472
2075,496
2079,112
669,460
2681,550
617,262
2131,262
755,310
107,28
2379,532
716,316
914,544
2178,256
1516,328
2011,442
49,154
49,418
635,418
478,136
206,148
1166,148
220,76
220,496
2528,496
2099,562
724,22
2100,550
209,28
209,544
475,544
897,400
856,41
1892,531
2659,563
1468,297
2140,239
764,333
1296,189
695,455
1447,567
2307,135
441,437
101,311
1271,167
1306,423
1442,423
1527,437
1909,135
17,513
1823,167
2168,297
2298,23
922,549
1266,455
147,27
2601,27
21,59
280,81
366,455
2382,167
1006,405
2210,311
882,117
1831,77
286,207
398,207
292,563
981,95
1767,95
2701,189
1423,189
735,383
2530,567

fold along x=1374
fold along x=686
fold along y=286
fold along x=342
fold along x=170
fold along y=142
fold along y=70
fold along x=84
fold along x=41
fold along y=34
fold along y=16
fold along y=7
